#;Volgnr.;Koppel;Land en IDcode;Type;Vetbedekking;Kleur;Sexe;Gewicht;Correctie;UBN;Geboorte datum;Slacht datum;Huisvesting;Categorie;Afwijkingen
301;8328;4;IE 226182261738;O+;30;4;A0;167,9;0;2120263;19-2-2023;13-10-2023;G;V;
302;8329;4;IE 212124521004;O0;30;6;A0;183,5;0;2120263;18-2-2023;13-10-2023;G;V;D,
303;8330;4;IE 223414852052;O0;30;5;A0;166,9;0;2120263;5-3-2023;13-10-2023;G;V;
304;8331;4;IE 216667871479;O0;20;4;A0;164,1;0;2120263;25-2-2023;13-10-2023;G;V;
305;8332;4;IE 224324452675;O0;20;6;A0;149,3;0;2120263;26-2-2023;13-10-2023;G;V;
306;8333;4;IE 215592953119;O+;20;6;A0;174,4;0,6;2120263;16-2-2023;13-10-2023;G;V;
307;8334;4;IE 215562882507;O0;20;6;A0;148,2;0;2120263;23-2-2023;13-10-2023;G;V;D,
308;8335;4;IE 226292740953;O+;30;5;A0;161,6;0;2120263;17-2-2023;13-10-2023;G;V;
309;8336;4;IE 215619991985;O0;20;6;A0;147,7;0;2120263;19-2-2023;13-10-2023;G;V;
310;8337;4;IE 213466785622;O-;20;5;A0;135,8;0;2120263;1-3-2023;13-10-2023;G;V;FHS,
311;8338;4;IE 223241222243;O+;30;6;A0;169,7;0;2120263;9-3-2023;13-10-2023;G;V;8
312;8339;4;IE 222670982417;O-;20;4;A0;129,5;0;2120263;19-2-2023;13-10-2023;G;V;
313;8340;4;IE 224650272645;O0;30;5;A0;166,6;0;2120263;5-3-2023;13-10-2023;G;V;
314;8341;4;IE 213501853395;O0;20;10;A0;167,6;0;2120263;28-2-2023;13-10-2023;G;V;
315;8342;4;IE 215626852382;O0;30;6;A0;176,9;0;2120263;20-2-2023;13-10-2023;G;V;
316;8343;4;IE 224100792284;O-;20;5;A0;133,1;0;2120263;25-2-2023;13-10-2023;G;V;
317;8344;4;IE 215626832372;O0;30;6;A0;168,7;0;2120263;16-2-2023;13-10-2023;G;V;0
318;8345;4;IE 216499952851;O0;20;4;A0;130,5;0;2120263;28-2-2023;13-10-2023;G;V;
319;8346;4;IE 217845253496;O0;20;5;A0;157,7;0;2120263;18-2-2023;13-10-2023;G;V;
320;8347;4;IE 216979520337;O0;20;5;A0;166,3;0;2120263;27-2-2023;13-10-2023;G;V;FHS,
321;8348;4;IE 219449020887;O+;30;6;A0;187,6;0;2120263;18-2-2023;13-10-2023;G;V;FHS,
322;8349;4;IE 219132993156;O-;20;8;A0;131,9;0;2120263;24-2-2023;13-10-2023;G;V;
323;8350;4;IE 214553841892;O0;20;6;A0;160;0;2120263;14-2-2023;13-10-2023;G;V;
324;8351;4;IE 215845322298;O0;20;4;A0;179,1;0;2120263;17-2-2023;13-10-2023;G;V;
325;8352;4;IE 225789312559;O0;30;6;A0;173,6;0;2120263;17-2-2023;13-10-2023;G;V;
326;8353;4;IE 224324482661;O0;20;5;A0;160,1;0;2120263;24-2-2023;13-10-2023;G;V;8
327;8354;4;IE 224324442658;O0;20;9;A0;147,2;0;2120263;22-2-2023;13-10-2023;G;V;
328;8355;4;IE 222937437582;O0;20;6;A0;155,8;0,5;2120263;16-2-2023;13-10-2023;G;V;ST,
329;8356;4;IE 218865081659;O0;30;4;A0;152,7;0;2120263;27-2-2023;13-10-2023;G;V;
330;8357;4;DK 03212704703 ;O-;20;6;A0;155,4;0;2120263;15-3-2023;13-10-2023;G;V;
331;8358;4;IE 216850481782;O0;20;8;A0;174;0;2120263;18-2-2023;13-10-2023;G;V;
332;8359;4;IE 215103974082;P0;10;10;A0;109,8;0;2120263;2-3-2023;13-10-2023;G;V;
333;8360;4;IE 215562892482;O+;30;5;A0;164,4;0;2120263;20-2-2023;13-10-2023;G;V;
334;8361;4;IE 216667821474;O0;20;5;A0;172,8;0;2120263;15-2-2023;13-10-2023;G;V;
335;8362;4;IE 224737714742;O0;20;5;A0;149,2;0;2120263;18-2-2023;13-10-2023;G;V;
336;8363;4;DK 03603404619 ;O-;20;4;A0;131,6;0;2120263;15-3-2023;13-10-2023;G;V;A,
337;8364;4;IE 216036740981;O0;20;5;A0;161,2;0;2120263;19-2-2023;13-10-2023;G;V;
338;8365;4;IE 217455112915;O-;20;5;A0;154,9;0;2120263;26-2-2023;13-10-2023;G;V;
339;8366;4;DK 03288007648 ;O-;20;4;A0;132,6;0;2120263;13-3-2023;13-10-2023;G;V;
340;8367;4;IE 214064242168;O-;20;9;A0;129,9;0,5;2120263;1-3-2023;13-10-2023;G;V;A,OLE,
341;8368;4;IE 224324492662;O0;30;7;A0;156,2;0;2120263;24-2-2023;13-10-2023;G;V;
342;8369;4;IE 214603561578;O0;30;7;A0;168,2;0;2120263;22-2-2023;13-10-2023;G;V;
343;8768;4;IE 214450464074;P-;10;5;A0;83,3;0,4;2120263;16-3-2023;13-10-2023;G;V;ExKeur,
344;8769;4;IE 222335272158;P0;10;10;A0;93,9;4,1;2120263;6-3-2023;13-10-2023;G;V;BO,LV,N2,
